,user_id,movie_id,rating,timestamp,gender,age,occupation,zip,title,genres,for_testing
740509,652,3044,5,975702634,M,18,20,12222,Dead Again (1991),Mystery|Romance|Thriller,False
156757,5312,1090,4,963544074,M,25,1,10463,Platoon (1986),Drama|War,False
10491,1599,594,5,974733743,M,25,0,92646,Snow White and the Seven Dwarfs (1937),Animation|Children's|Musical,False
135009,3914,1198,5,965951877,M,35,4,84123,Raiders of the Lost Ark (1981),Action|Adventure,False
648743,935,2542,3,975182393,M,35,14,60538,"Lock, Stock & Two Smoking Barrels (1998)",Comedy|Crime|Thriller,False
347433,1137,1674,5,982911953,M,18,4,13165,Witness (1985),Drama|Romance|Thriller,False
250162,4099,800,4,965416249,M,35,17,94954,Lone Star (1996),Drama|Mystery,False
313990,2195,1747,5,989113311,M,1,10,60148,Wag the Dog (1997),Comedy|Drama,False
831115,5404,3271,4,960255588,M,25,0,30068,Of Mice and Men (1992),Drama,False
295209,131,2318,5,977431208,M,18,4,06520,Happiness (1998),Comedy,False
125405,4585,2353,5,964322101,M,35,7,30324,Enemy of the State (1998),Action|Thriller,False
521603,2106,539,2,974820591,F,18,20,495321,Sleepless in Seattle (1993),Comedy|Romance,False
764117,2878,2053,2,973231979,F,50,20,88005,"Honey, I Blew Up the Kid (1992)",Children's|Comedy|Sci-Fi,False
398688,1841,3301,2,974698076,M,18,0,95037,"Whole Nine Yards, The (2000)",Comedy|Crime,False
967765,2665,2482,1,973453911,M,35,11,98443,Still Crazy (1998),Comedy|Romance,False
755292,5038,2132,5,963797537,M,25,20,10010,Who's Afraid of Virginia Woolf? (1966),Drama,False
771068,4386,3614,5,965169180,M,25,5,74055,Honeymoon in Vegas (1992),Comedy|Romance,False
202605,1647,1379,4,974805612,M,18,18,98118,Young Guns II (1990),Action|Comedy|Western,False
804320,3999,3769,3,965572917,M,35,17,30701,Thunderbolt and Lightfoot (1974),Action,False
506821,1015,62,2,979451699,M,35,3,11220,Mr. Holland's Opus (1995),Drama,False
124276,3812,1372,3,965955680,M,35,17,78749,Star Trek VI: The Undiscovered Country (1991),Action|Adventure|Sci-Fi,False
401541,5367,529,4,960506356,M,18,4,55344,Searching for Bobby Fischer (1993),Drama,False
92684,412,1188,5,976298688,M,35,15,55117,Strictly Ballroom (1992),Comedy|Romance,False
166817,169,3451,4,977198820,M,25,7,55439,Guess Who's Coming to Dinner (1967),Comedy|Drama,False
373936,2124,253,4,974653327,M,25,0,12306,Interview with the Vampire (1994),Drama|Horror,False
755582,3389,303,2,967515695,M,18,0,13603,"Quick and the Dead, The (1995)",Action|Adventure|Western,False
221922,4243,3527,4,965310479,M,56,7,32137,Predator (1987),Action|Sci-Fi|Thriller,False
662386,5795,2089,3,958146279,M,25,1,92688,"Rescuers Down Under, The (1990)",Animation|Children's,False
314410,5256,1747,3,961298499,M,25,16,30269,Wag the Dog (1997),Comedy|Drama,False
537056,2106,1583,1,974755350,F,18,20,495321,"Simple Wish, A (1997)",Children's|Fantasy,False
949171,5205,407,4,961639993,M,25,1,02908,In the Mouth of Madness (1995),Horror|Thriller,False
874810,53,1459,4,977974218,M,25,0,96931,Absolute Power (1997),Mystery|Thriller,False
438751,2114,2640,5,974650045,M,18,18,21740,Superman (1978),Action|Adventure|Sci-Fi,False
482186,5002,344,3,962596378,M,25,17,90505,Ace Ventura: Pet Detective (1994),Comedy,False
33790,3491,2294,5,967067707,M,25,16,28542,Antz (1998),Animation|Children's,False
920900,4673,3841,4,970984245,M,35,16,94705,Air America (1990),Action|Comedy,False
319013,5535,1243,5,959579261,M,25,15,94538,Rosencrantz and Guildenstern Are Dead (1990),Comedy|Drama,False
685985,457,1242,4,976232891,M,18,4,54703,Glory (1989),Action|Drama|War,False
804196,5234,3836,4,965144008,F,25,0,60657,Kelly's Heroes (1970),Action|Comedy|War,False
525342,3471,3175,4,1002608227,M,18,4,80302,Galaxy Quest (1999),Adventure|Comedy|Sci-Fi,False
1000015,2344,790,3,974413229,M,25,12,02139,An Unforgettable Summer (1994),Drama,False
335058,1284,3753,3,974843859,M,45,16,33334,"Patriot, The (2000)",Action|Drama|War,False
503954,4115,1125,4,965370230,M,25,15,99353,"Return of the Pink Panther, The (1974)",Comedy,False
592548,2895,141,4,972404006,M,25,11,07039,"Birdcage, The (1996)",Comedy,False
926395,4448,2196,3,966967265,M,25,14,06880,Knock Off (1998),Action,False
96309,548,110,1,976067985,F,35,16,96860,Braveheart (1995),Action|Drama|War,False
73347,5553,1210,3,959457950,M,35,3,29425,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Romance|Sci-Fi|War,False
811638,802,3244,4,975403206,M,25,16,22801,"Goodbye Girl, The (1977)",Comedy|Romance,False
396878,33,300,2,978109430,M,45,3,55421,Quiz Show (1994),Drama,False
683388,4733,1591,3,963673803,M,18,18,52301,Spawn (1997),Action|Adventure|Sci-Fi|Thriller,False
591783,5268,2976,5,961168559,F,25,2,68502,Bringing Out the Dead (1999),Drama|Horror,False
291434,3487,2890,5,967059139,M,18,4,60611,Three Kings (1999),Drama|War,False
810559,4064,2780,3,965476910,M,45,0,20851,"Raven, The (1963)",Comedy|Horror,False
890388,4473,2349,4,965073753,M,35,1,94121,Mona Lisa (1986),Comedy|Thriller,False
544457,1586,2399,3,974736764,M,45,7,77351,Santa Claus: The Movie (1985),Adventure|Children's|Fantasy,False
778876,4411,1390,5,969332130,M,18,4,92122,My Fellow Americans (1996),Comedy,False
27527,4373,527,5,965177162,M,50,12,32920,Schindler's List (1993),Drama|War,False
758177,711,2915,3,975540017,M,25,18,80521,Risky Business (1983),Comedy,False
682280,4140,3698,3,965348756,M,25,0,32112,"Running Man, The (1987)",Action|Adventure|Sci-Fi,False
21454,5281,2797,4,961099561,M,25,2,90210,Big (1988),Comedy|Fantasy,False
950570,1820,2026,1,974702198,M,25,20,50265,Disturbing Behavior (1998),Horror|Thriller,False
389923,3428,1027,5,967348032,M,45,1,47933,Robin Hood: Prince of Thieves (1991),Drama,False
222460,1319,1201,1,974778692,F,25,3,98626,"Good, The Bad and The Ugly, The (1966)",Action|Western,False
853781,4083,3519,2,965460655,M,56,14,92630,Force 10 from Navarone (1978),Action|War,False
482971,1266,923,5,978715587,M,25,4,18104,Citizen Kane (1941),Drama,False
572046,1666,2106,3,974712346,M,25,14,15241,Swing Kids (1993),Drama|War,False
312492,4379,1095,1,965177835,M,25,4,27278,Glengarry Glen Ross (1992),Drama,False
930443,780,631,1,975439176,M,25,17,91776,All Dogs Go to Heaven 2 (1996),Animation|Children's|Musical,False
377842,2555,2023,3,1006031261,M,56,7,10522,"Godfather: Part III, The (1990)",Action|Crime|Drama,False
227758,5535,2987,4,959579783,M,25,15,94538,Who Framed Roger Rabbit? (1988),Adventure|Animation|Film-Noir,False
669497,2820,3633,2,972660837,F,35,0,02138,On Her Majesty's Secret Service (1969),Action,False
667994,613,1956,5,975811326,M,35,20,10562,Ordinary People (1980),Drama,False
963354,3778,1667,2,966047736,M,25,0,61832,Mad City (1997),Action|Drama,False
796107,5573,930,3,988326821,F,35,1,14619,Notorious (1946),Film-Noir|Romance|Thriller,False
209761,1303,2115,4,974792624,M,25,19,94111,Indiana Jones and the Temple of Doom (1984),Action|Adventure,False
349712,5905,1997,2,957376610,F,35,20,78006,"Exorcist, The (1973)",Horror,False
896097,131,190,2,977431893,M,18,4,06520,Safe (1995),Thriller,False
456339,4579,1286,4,970627512,F,18,4,63332,Somewhere in Time (1980),Drama|Romance,False
877179,4957,1752,2,962758872,M,25,2,48197,Hard Rain (1998),Action|Thriller,False
393324,1880,223,4,974698101,M,35,0,91006,Clerks (1994),Comedy,False
543829,4155,2393,3,965851846,M,50,17,85712,Star Trek: Insurrection (1998),Action|Sci-Fi,False
365730,1835,1411,5,974879762,M,25,19,11501,Hamlet (1996),Drama,False
501215,777,953,2,976213693,M,18,19,87543,It's a Wonderful Life (1946),Drama,False
926474,2063,2448,1,974666341,M,25,4,43138,Virus (1999),Horror|Sci-Fi,False
462370,984,3039,4,975118556,M,50,16,92129,Trading Places (1983),Comedy,False
64344,5011,648,3,962634610,M,18,4,64154,Mission: Impossible (1996),Action|Adventure|Mystery,False
41344,4748,150,5,963268433,M,45,16,60302,Apollo 13 (1995),Drama,False
24451,2938,1270,5,971450157,F,25,0,55345,Back to the Future (1985),Comedy|Sci-Fi,False
79765,3768,434,2,966063556,M,25,4,86314,Cliffhanger (1993),Action|Adventure|Crime,False
387996,4041,2541,2,965513569,M,18,3,48005,Cruel Intentions (1999),Drama,False
523229,3462,3247,3,999308181,F,25,4,73160,Sister Act (1992),Comedy|Crime,False
170399,3993,2002,4,965589607,M,25,0,22015,Lethal Weapon 3 (1992),Action|Comedy|Crime|Drama,False
427257,5042,1257,4,962506217,F,18,2,55408,Better Off Dead... (1985),Comedy,False
772739,533,3040,5,976209169,M,25,12,27514,Meatballs (1979),Comedy,False
450315,1530,316,3,985055253,M,25,4,53711,Stargate (1994),Action|Adventure|Sci-Fi,False
15430,4379,2918,5,965180410,M,25,4,27278,Ferris Bueller's Day Off (1986),Comedy,False
158442,1697,2501,5,974733869,F,18,4,98052,October Sky (1999),Drama,False
414504,3457,3623,4,977502614,M,25,20,19083,Mission: Impossible 2 (2000),Action|Thriller,False
465186,2203,2094,3,974603688,M,45,12,53718,"Rocketeer, The (1991)",Action|Adventure|Sci-Fi,False
892221,5059,3179,1,962484448,M,45,16,22652,Angela's Ashes (1999),Drama,False
130181,3754,1196,5,966119106,M,56,7,94612,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Drama|Sci-Fi|War,False
925492,2109,2995,3,974662046,M,25,16,13090,"House on Haunted Hill, The (1999)",Horror,False
412559,3648,1584,4,977184078,M,18,4,85210,Contact (1997),Drama|Sci-Fi,False
131098,5596,1196,4,959216578,M,35,12,22201,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Drama|Sci-Fi|War,False
73111,5049,1210,5,962500526,M,25,12,60613,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Romance|Sci-Fi|War,False
228288,3638,2333,4,966579489,M,25,2,90038,Gods and Monsters (1998),Drama,False
85725,1050,2236,3,974965887,M,25,1,97302,Simon Birch (1998),Drama,False
652065,3272,2985,4,968278276,M,35,0,08330,Robocop (1987),Action|Crime|Sci-Fi,False
843483,1404,1172,2,974764881,M,50,16,91360,Cinema Paradiso (1988),Comedy|Drama|Romance,False
944021,1181,2877,2,974946754,M,35,7,20716,Tommy (1975),Drama|Musical,False
896001,4085,3478,4,965539554,F,25,6,79416,"Bamba, La (1987)",Drama,False
961620,1768,2495,4,974702655,M,45,16,75067,"Fantastic Planet, The (La Planète sauvage) (1973)",Animation|Sci-Fi,False
665108,1265,1876,4,1012103500,F,18,20,49321,Deep Impact (1998),Action|Drama|Sci-Fi|Thriller,False
374492,881,3250,4,975265140,M,18,14,76401,Alive (1993),Drama,False
340407,2237,17,5,974597027,F,35,6,14905,Sense and Sensibility (1995),Drama|Romance,False
984354,770,3042,1,976183466,M,18,4,98499,Meatballs III (1987),Comedy,False
299791,1001,3409,3,975040764,M,25,4,90210,Final Destination (2000),Drama|Thriller,False
673693,2804,44,3,972793130,F,35,0,46234,Mortal Kombat (1995),Action|Adventure,False
214952,3547,1214,5,966838682,M,35,16,94108,Alien (1979),Action|Horror|Sci-Fi|Thriller,False
982406,5550,2651,4,959621556,M,35,15,48187,Frankenstein Meets the Wolf Man (1943),Horror,False
273369,757,3386,3,975457763,M,25,12,97401,JFK (1991),Drama|Mystery,False
690728,3433,1407,3,967414778,M,18,12,55113,Scream (1996),Horror|Thriller,False
134875,3610,1198,5,977886607,M,18,6,30064,Raiders of the Lost Ark (1981),Action|Adventure,False
745335,5538,1965,4,959558523,M,45,12,55102,Repo Man (1984),Comedy|Sci-Fi,False
941318,1088,2203,4,1000748756,F,1,10,98103,Shadow of a Doubt (1943),Film-Noir|Thriller,False
855002,2820,2524,2,972658378,F,35,0,02138,"Towering Inferno, The (1974)",Action|Drama,False
117594,2136,480,4,974642547,M,35,18,13027,Jurassic Park (1993),Action|Adventure|Sci-Fi,False
189012,2010,1079,4,974679996,M,18,4,81520,"Fish Called Wanda, A (1988)",Comedy,False
941606,2962,2204,2,978981181,M,35,3,94109,Saboteur (1942),Thriller,False
16129,1595,1035,4,974767946,M,35,1,92683-1892,"Sound of Music, The (1965)",Musical,False
701582,4472,2367,3,965064918,F,45,16,14424,King Kong (1976),Action|Adventure|Horror,False
280499,6010,2013,3,956859529,M,35,0,79606,"Poseidon Adventure, The (1972)",Action|Adventure,False
548858,899,1234,4,975217968,F,25,1,30605,"Sting, The (1973)",Comedy|Crime,False
126268,1164,2427,5,977274206,F,25,19,90020,"Thin Red Line, The (1998)",Action|Drama|War,False
828367,326,1086,4,980987854,M,50,11,25302,Dial M for Murder (1954),Mystery|Thriller,False
842269,5111,1081,3,962424449,M,35,2,78006,Victor/Victoria (1982),Comedy|Musical,False
660472,2251,3526,3,974599503,M,35,14,60626,Parenthood (1989),Comedy|Drama,False
849018,2247,1147,4,975194850,M,45,2,60613,When We Were Kings (1996),Documentary,False
137286,3250,593,5,968309380,M,25,4,90069,"Silence of the Lambs, The (1991)",Drama|Thriller,False
727147,3411,112,3,967415174,M,18,4,02139,Rumble in the Bronx (1995),Action|Adventure|Crime,False
698906,3399,3082,3,967478705,M,25,4,14623,"World Is Not Enough, The (1999)",Action|Thriller,False
165628,3191,3418,4,968649945,M,25,12,27707,Thelma & Louise (1991),Action|Drama,False
859336,1494,2456,3,974749655,M,25,17,38104,"Fly II, The (1989)",Horror|Sci-Fi,False
343514,5296,912,5,965651955,F,1,0,27245,Casablanca (1942),Drama|Romance|War,False
607909,300,2273,4,976507551,M,25,7,78664,Rush Hour (1998),Action|Thriller,False
421328,1628,1320,4,974719246,M,18,20,90028,Alien³ (1992),Action|Horror|Sci-Fi|Thriller,False
728777,5805,1222,5,958007498,F,25,0,90802,Full Metal Jacket (1987),Action|Drama|War,False
974501,889,3475,5,975253938,M,45,20,10024,"Place in the Sun, A (1951)",Drama|Romance,False
400582,3420,3160,4,985366592,F,25,7,48105,Magnolia (1999),Drama,False
358796,2701,3148,5,973303775,M,45,1,60115,"Cider House Rules, The (1999)",Drama,False
66442,2273,2628,5,974567807,M,25,6,23235,Star Wars: Episode I - The Phantom Menace (1999),Action|Adventure|Fantasy|Sci-Fi,False
608195,2962,2273,3,978983722,M,35,3,94109,Rush Hour (1998),Action|Thriller,False
102376,746,589,4,975467897,F,18,19,95019,Terminator 2: Judgment Day (1991),Action|Sci-Fi|Thriller,False
784947,4482,3308,4,965101370,F,35,1,94044,"Flamingo Kid, The (1984)",Comedy|Drama,False
810681,1489,3088,5,975121262,F,35,2,60201,Harvey (1950),Comedy,False
898446,2372,281,4,974676001,F,45,7,01602,Nobody's Fool (1994),Drama,False
651354,4682,2117,5,963681401,M,25,7,05346,Nineteen Eighty-Four (1984),Drama|Sci-Fi,False
574709,1100,934,1,974925951,M,25,0,60090,Father of the Bride (1950),Comedy,False
97705,3724,110,5,966220508,M,35,6,77083,Braveheart (1995),Action|Drama|War,False
563790,3425,3101,3,967363899,M,18,20,48135,Fatal Attraction (1987),Thriller,False
756306,4447,2144,3,965175498,M,45,5,32953,Sixteen Candles (1984),Comedy,False
779806,1125,432,3,974924921,F,18,4,53715,City Slickers II: The Legend of Curly's Gold (1994),Comedy|Western,False
470485,5888,339,3,957479382,M,25,20,64114,While You Were Sleeping (1995),Comedy|Romance,False
939576,1181,3824,1,980089828,M,35,7,20716,Autumn in New York (2000),Drama|Romance,False
466962,1447,1294,2,981018077,M,18,4,80521,M*A*S*H (1970),Comedy|War,False
326356,1490,3717,4,974771879,M,50,7,90505,Gone in 60 Seconds (2000),Action|Crime,False
783662,5532,1556,3,959620626,M,25,17,27408,Speed 2: Cruise Control (1997),Action|Romance|Thriller,False
503100,3013,2863,4,970512766,M,45,17,97124,"Hard Day's Night, A (1964)",Comedy|Musical,False
908552,411,3185,5,976295053,F,45,1,43214,Snow Falling on Cedars (1999),Drama,False
740170,5153,11,3,961968612,M,25,7,60046,"American President, The (1995)",Comedy|Drama|Romance,False
663940,3709,327,1,966276457,M,25,12,89502,Tank Girl (1995),Action|Comedy|Musical|Sci-Fi,False
720828,1219,799,4,978453216,M,25,7,12206,"Frighteners, The (1996)",Comedy|Horror,False
183933,2793,1641,5,972933598,M,35,7,70116,"Full Monty, The (1997)",Comedy,False
13057,1591,595,5,974750912,M,50,7,26501,Beauty and the Beast (1991),Animation|Children's|Musical,False
972491,4666,3782,2,964809794,M,35,1,53704,Shaft's Big Score! (1972),Action|Crime,False
300044,3462,3409,1,971104026,F,25,4,73160,Final Destination (2000),Drama|Thriller,False
931524,889,1131,3,975255395,M,45,20,10024,Jean de Florette (1986),Drama,False
79199,3823,1217,5,965943002,M,56,7,93711,Ran (1985),Drama|War,False
35077,516,588,3,976279940,F,56,14,55033,Aladdin (1992),Animation|Children's|Comedy|Musical,False
548256,2777,2108,4,973050679,M,18,4,95326,L.A. Story (1991),Comedy|Romance,False
921016,245,1099,4,976734114,M,35,16,66046,"Christmas Carol, A (1938)",Drama,False
871591,4742,1969,2,963331093,M,25,3,94118,"Nightmare on Elm Street Part 2: Freddy's Revenge, A (1985)",Horror,False
281540,299,2599,4,977034623,M,25,12,97370,Election (1999),Comedy,False
203116,1712,3552,4,1012114521,M,25,0,73003,Caddyshack (1980),Comedy,False
987268,4169,2897,3,968798326,M,50,0,66048,And the Ship Sails On (E la nave va) (1984),Comedy|War,False
745228,4647,1965,4,963978318,M,35,20,80222,Repo Man (1984),Comedy|Sci-Fi,False
790729,587,3263,3,976032635,M,25,20,92649,White Men Can't Jump (1992),Comedy,False
89286,5273,1259,4,961110136,M,56,20,91030,Stand by Me (1986),Adventure|Comedy|Drama,False
554345,4320,2046,3,965250388,M,25,5,89114,Flight of the Navigator (1986),Adventure|Children's|Sci-Fi,False
960608,548,1856,3,976139570,F,35,16,96860,Kurt & Courtney (1998),Documentary|Musical,False
890577,272,1627,4,976696490,M,18,0,80302,U Turn (1997),Action|Crime|Mystery,False
182869,3536,3421,5,966886962,M,18,4,57103,Animal House (1978),Comedy,False
43964,1159,1961,3,974863483,M,18,0,48314,Rain Man (1988),Drama,False
451015,5205,316,4,961640192,M,25,1,02908,Stargate (1994),Action|Adventure|Sci-Fi,False
600624,4785,2676,4,963190495,F,25,14,55104,Instinct (1999),Drama|Thriller,False
9111,899,2804,3,975218068,F,25,1,30605,"Christmas Story, A (1983)",Comedy|Drama,False
915781,2102,2435,1,974656212,M,25,11,48825,Hurlyburly (1998),Drama,False
114669,3951,1408,4,965678500,F,18,4,60014,"Last of the Mohicans, The (1992)",Action|Romance|War,False
427958,5644,1831,3,958882002,F,18,4,92833,Lost in Space (1998),Action|Sci-Fi|Thriller,False
959354,4227,627,1,965411011,M,25,19,11414-2520,"Last Supper, The (1995)",Drama|Thriller,False
180150,2168,1245,5,1005592024,M,1,10,60202,Miller's Crossing (1990),Drama,False
132889,3464,736,3,967175123,F,25,14,78251,Twister (1996),Action|Adventure|Romance|Thriller,False
206630,5755,3168,3,958266506,F,35,2,78744,Easy Rider (1969),Adventure|Drama,False
506215,5755,1129,2,958280144,F,35,2,78744,Escape from New York (1981),Action|Adventure|Sci-Fi|Thriller,False
425208,5323,1252,5,960847685,M,25,20,94122,Chinatown (1974),Film-Noir|Mystery|Thriller,False
969165,329,352,1,979766058,M,35,7,02115,Crooklyn (1994),Comedy,False
266477,4016,1704,4,965535052,M,50,0,33901,Good Will Hunting (1997),Drama,False
561682,1015,1288,5,975015055,M,35,3,11220,This Is Spinal Tap (1984),Comedy|Drama|Musical,False
882883,1100,516,2,974926535,M,25,0,60090,Renaissance Man (1994),Comedy|Drama|War,False
619193,777,1672,3,975520107,M,18,19,87543,"Rainmaker, The (1997)",Drama,False
293061,5795,16,5,958078446,M,25,1,92688,Casino (1995),Drama|Thriller,False
579304,930,10,3,1031434452,M,25,5,98380,GoldenEye (1995),Action|Adventure|Thriller,False
477394,2996,1377,2,972414018,M,18,0,63011,Batman Returns (1992),Action|Adventure|Comedy|Crime,False
364426,461,1120,4,976228408,M,50,7,55075,"People vs. Larry Flynt, The (1996)",Drama,False
358890,3182,3148,4,968770145,M,25,12,12866,"Cider House Rules, The (1999)",Drama,False
510949,4808,2001,3,962958045,M,35,0,96707-1321,Lethal Weapon 2 (1989),Action|Comedy|Crime|Drama,False
175410,5857,318,5,957721954,F,45,2,43229,"Shawshank Redemption, The (1994)",Drama,False
346618,1998,1380,3,981859631,F,50,9,24018,Grease (1978),Comedy|Musical|Romance,False
669586,4150,3633,3,965345029,M,25,0,29672,On Her Majesty's Secret Service (1969),Action,False
777116,3082,350,3,969814507,F,35,6,45459,"Client, The (1994)",Drama|Mystery|Thriller,False
919420,3588,3729,5,966660901,M,25,2,90068,Shaft (1971),Action|Crime,False
851041,5001,691,4,1019973231,F,25,2,63119,Mrs. Winterbourne (1996),Comedy|Romance,False
280252,3715,2013,3,966266977,M,18,5,55428,"Poseidon Adventure, The (1972)",Action|Adventure,False
812537,5387,1235,5,960328719,F,25,1,45056,Harold and Maude (1971),Comedy,False
632666,2748,3032,1,973287919,M,25,4,85719,"Omega Man, The (1971)",Sci-Fi,False
799842,3675,928,4,966364318,M,35,7,06680,Rebecca (1940),Romance|Thriller,False
285344,5019,2959,3,986002541,M,25,7,10025,Fight Club (1999),Drama,False
743040,2628,1958,3,973627117,F,25,2,11217,Terms of Endearment (1983),Comedy|Drama,False
448905,1873,2657,3,974771320,M,35,7,02127,"Rocky Horror Picture Show, The (1975)",Comedy|Horror|Musical|Sci-Fi,False
35128,705,588,3,975547566,M,25,4,48065,Aladdin (1992),Animation|Children's|Comedy|Musical,False
751491,2986,125,5,970809524,M,25,4,24060,Flirting With Disaster (1996),Comedy,False
634949,1449,3638,2,975699057,M,35,20,17112,Moonraker (1979),Action|Romance|Sci-Fi,False
497546,824,943,4,975378796,M,35,12,94530,"Ghost and Mrs. Muir, The (1947)",Drama|Romance,False
808886,4658,2747,2,963879693,M,25,4,99163,"Little Shop of Horrors, The (1960)",Comedy|Horror,False
552272,5963,1676,3,957022432,M,25,15,02140,Starship Troopers (1997),Action|Adventure|Sci-Fi|War,False
806892,1611,2065,4,974731026,M,25,0,03867,"Purple Rose of Cairo, The (1985)",Comedy|Drama|Romance,False
270295,4508,2723,3,964982042,M,25,20,15701,Mystery Men (1999),Action|Adventure|Comedy,False
149660,1152,1954,4,974868863,M,18,4,30328,Rocky (1976),Action|Drama,False
491471,18,1025,4,978154962,F,18,3,95825,"Sword in the Stone, The (1963)",Animation|Children's,False
978044,6036,3008,5,956709885,F,25,15,32603,Last Night (1998),Thriller,False
958931,1749,3746,1,974841363,M,25,2,10040,Butterfly (La Lengua de las Mariposas) (2000),Drama|War,False
51657,2181,1207,4,974859931,M,25,0,45245,To Kill a Mockingbird (1962),Drama,False
27999,5636,527,4,959055018,M,25,7,98102,Schindler's List (1993),Drama|War,False
836656,3769,2088,4,966636837,M,25,15,02446,Popeye (1980),Adventure|Comedy|Musical,False
253912,5627,3081,2,959040583,M,25,0,07040,Sleepy Hollow (1999),Horror|Romance,False
395228,1546,3948,4,974742806,M,25,4,22903,Meet the Parents (2000),Comedy,False
68481,654,2916,3,975700939,M,50,7,75023,Total Recall (1990),Action|Adventure|Sci-Fi|Thriller,False
498866,5281,370,3,961101791,M,25,2,90210,Naked Gun 33 1/3: The Final Insult (1994),Comedy,False
303463,2389,3624,5,974327375,M,25,16,37922,Shanghai Noon (2000),Action,False
372105,4831,2442,4,1029853933,F,25,1,04210,Hilary and Jackie (1998),Drama,False
480879,438,3489,4,976250166,M,18,11,53705,Hook (1991),Adventure|Fantasy,False
769276,2565,315,4,973973858,M,35,5,34786,"Specialist, The (1994)",Action,False
603839,2436,1608,3,974224246,M,25,7,22902,Air Force One (1997),Action|Thriller,False
980241,543,725,5,976159108,M,25,5,55057,"Great White Hype, The (1996)",Comedy,False
278370,4950,3176,4,962640777,M,25,16,55421,"Talented Mr. Ripley, The (1999)",Drama|Mystery|Thriller,False
339733,2547,266,3,974039603,F,35,0,37920,Legends of the Fall (1994),Drama|Romance|War|Western,False
658565,2909,2145,3,971971102,M,25,7,43228,Pretty in Pink (1986),Comedy|Drama|Romance,False
198592,744,1261,4,975471207,M,25,17,77007,Evil Dead II (Dead By Dawn) (1987),Action|Adventure|Comedy|Horror,False
920483,1465,1082,4,974766059,M,50,16,93003,"Candidate, The (1972)",Drama,False
543793,3957,2393,4,965675811,M,35,11,40242,Star Trek: Insurrection (1998),Action|Sci-Fi,False
510580,3101,2001,4,969584024,M,18,15,91101,Lethal Weapon 2 (1989),Action|Comedy|Crime|Drama,False
91851,5319,1544,2,960865355,M,18,17,94941,"Lost World: Jurassic Park, The (1997)",Action|Adventure|Sci-Fi|Thriller,False
138291,5586,593,4,959276913,M,35,20,94107,"Silence of the Lambs, The (1991)",Drama|Thriller,False
459472,1926,329,4,974691287,F,1,0,95404,Star Trek: Generations (1994),Action|Adventure|Sci-Fi,False
609546,4568,1625,4,964478251,F,25,4,90034,"Game, The (1997)",Mystery|Thriller,False
619414,4797,1672,4,962981361,F,35,17,84067,"Rainmaker, The (1997)",Drama,False
70784,126,1210,5,977444230,M,18,9,98117,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Romance|Sci-Fi|War,False
303669,4459,3624,4,965074379,M,25,1,28027,Shanghai Noon (2000),Action,False
624815,881,2369,3,1014313871,M,18,14,76401,Desperately Seeking Susan (1985),Comedy|Romance,False
657591,911,168,4,975257255,M,50,0,98226,First Knight (1995),Action|Adventure|Drama|Romance,False
384502,413,25,4,976286689,M,25,11,55409,Leaving Las Vegas (1995),Drama|Romance,False
574590,4950,3897,4,1007859965,M,25,16,55421,Almost Famous (2000),Comedy|Drama,False
672423,1658,1391,4,974715692,F,35,6,94214,Mars Attacks! (1996),Action|Comedy|Sci-Fi|War,False
576422,1449,3785,2,991241763,M,35,20,17112,Scary Movie (2000),Comedy|Horror,False
278455,5333,3176,4,962592810,F,25,7,02332,"Talented Mr. Ripley, The (1999)",Drama|Mystery|Thriller,False
237628,149,2058,3,977326756,M,25,1,29205,"Negotiator, The (1998)",Action|Thriller,False
508397,4478,3812,3,983992611,M,1,12,02138,Everything You Always Wanted to Know About Sex (1972),Comedy,False
253641,4305,3081,4,1041432238,F,45,17,27616,Sleepy Hollow (1999),Horror|Romance,False
710441,1647,1405,2,974712341,M,18,18,98118,Beavis and Butt-head Do America (1996),Animation|Comedy,False
941968,5643,944,2,958890584,F,35,1,84108,Lost Horizon (1937),Drama,False
774755,3934,1888,2,965707419,M,25,0,44512,Hope Floats (1998),Comedy|Drama|Romance,False
365274,3391,161,5,967655594,M,18,4,48135,Crimson Tide (1995),Drama|Thriller|War,False
62015,558,2194,3,976051079,M,35,20,55108,"Untouchables, The (1987)",Action|Crime|Drama,False
809533,1130,933,5,974903094,M,18,7,60012,To Catch a Thief (1955),Comedy|Romance|Thriller,False
220795,5361,1387,3,960527392,F,50,16,92026,Jaws (1975),Action|Horror,False
372527,2230,3246,5,974598198,F,45,1,60302,Malcolm X (1992),Drama,False
171901,5143,1784,4,962831610,M,18,4,44502,As Good As It Gets (1997),Comedy|Drama,False
645618,5886,2527,3,957488841,M,25,20,02139,Westworld (1973),Action|Sci-Fi|Thriller|Western,False
733327,3410,1267,5,967420137,M,35,1,20653,"Manchurian Candidate, The (1962)",Film-Noir|Thriller,False
654149,3292,1186,4,968099891,F,50,6,79410,"Sex, Lies, and Videotape (1989)",Drama,False
120990,3080,1265,5,969809532,M,25,20,55410,Groundhog Day (1993),Comedy|Romance,False
