"id","submitted","areas_of_interest","subinterests"
16072,1376855430,"Advertising,Events,Fashion,Games,Local,Media,Music,Productivity Tools,Small Businesses,Travel","Content,Movies/Film,News"
16073,1376857083,"Family,Int'l Development (Outside US/Canada)",NULL
16074,1376857680,"Commerce,Data & Analytics,Financial Services,Mobile,Music,Payments,Productivity Tools,Sports,Travel",NULL
16075,1376859635,"Financial Services",NULL
16076,1376862516,"Data & Analytics,Financial Services,Mobile,Payments,Small Businesses",NULL
16077,1376862759,"Payments",NULL
16078,1376867839,"Advertising,Dating,Media,Mobile,Music,Small Businesses,Social Impact,Sports",NULL
16079,1376869983,"Events,Green,Healthcare,Small Businesses,Travel",""
16080,1376873608,"Advertising,Video",NULL
16081,1376874216,"Education,Financial Services,Healthcare,Music,Sports,Video","Higher Education"
16082,1376874435,"Commerce,Financial Services,Payments",""
16083,1376876594,"Commerce,Financial Services,Green,Local,Mobile,Payments,Small Businesses,Social Impact",NULL
16085,1376879114,"Advertising,Commerce,Data & Analytics,Events,Fashion,Mobile,Payments,Photos,Small Businesses",NULL
16086,1376880728,"Advertising",NULL
16087,1376881090,"Video",NULL
16088,1376884710,"Games,Mobile,Small Businesses,Travel",NULL
16089,1376894116,"Data & Analytics,Media,Music,Small Businesses,Social Impact,Video","Content,Movies/Film,TV"
16090,1376896824,"Commerce,Education,Events,Music,Photos,Recruiting,Small Businesses,Travel","Youth Leadership"
16091,1376897996,"Healthcare,Mobile","Fitness,Quantified-self,Wellness"
16092,1376900185,"Advertising,Cloud Services,Data & Analytics,Dating,Enterprise Software,Events,Financial Services,Mobile,Productivity Tools,Recruiting",""
16093,1376903891,"Education,Media,Music,Productivity Tools,Small Businesses,Travel,Video","Edutainment,Lifelong Learning (outside of school),Higher Education,Content,Movies/Film,TV"
16094,1376907161,"Advertising,Cloud Services,Education,Enterprise Software,Fashion,Games,Local,Mobile,Payments,Productivity Tools,Recruiting,Social Impact","Edutainment,In-classroom learning (K-12),Lifelong Learning (outside of school)"
16095,1376909088,"Advertising,Commerce,Financial Services,Mobile,Productivity Tools,Small Businesses",NULL
16096,1376909537,"Cloud Services,Commerce,Data & Analytics,Enterprise Software,Fashion,Financial Services,Media,Mobile,Payments,Productivity Tools,Small Businesses","Content,Movies/Film,TV"
16097,1376910562,"Cloud Services,Enterprise Software,Hardware,Mobile,Payments",NULL
16098,1376910858,"Data & Analytics,Media,Small Businesses,Social Impact","Content,News"
16099,1376913399,"Cloud Services,Education,Social Impact",NULL
16100,1376914268,"Games,Media,Mobile,Music","Content,Movies/Film"
16101,1376916810,"Commerce,Data & Analytics,Enterprise Software,Hardware,Mobile,Productivity Tools,Small Businesses,Video",NULL
16102,1376917197,"Advertising,Cloud Services,Data & Analytics,Education,Local,Mobile,Social Impact","Edutainment,Lifelong Learning (outside of school)"
16103,1376917870,"Cloud Services,Data & Analytics,Media,Mobile,Productivity Tools,Small Businesses,Social Impact",""
16104,1376918835,"Education,Family,Int'l Development (Outside US/Canada),Youth Leadership","Edutainment,Lifelong Learning (outside of school),Youth Leadership"
16105,1376919718,"Data & Analytics,Games,Mobile,Photos,Small Businesses,Social Impact,Sports",NULL
16106,1376920454,"Advertising,Cloud Services,Commerce,Education,Enterprise Software,Financial Services,Green,Healthcare,Media,Mobile,Music,Productivity Tools,Smart Home,Social Impact,Travel,Wearable Tech",""
16107,1376921184,"Advertising,Commerce,Data & Analytics,Fashion",NULL
16108,1376921816,"Cloud Services,Hardware,Mobile,Payments,Small Businesses,Video",NULL
16109,1376922312,"Advertising,Commerce,Data & Analytics,Fashion,Local,Mobile,Small Businesses,Social Impact,Sports,Travel",NULL
16110,1376922445,"Enterprise Software",NULL
16111,1376924450,"Education,Mobile,Photos,Productivity Tools,Recruiting,Social Impact,Travel","Lifelong Learning (outside of school),Youth Leadership"
16112,1376924725,"Games,Media,Mobile,Music,Productivity Tools,Social Impact,Video","Content,Movies/Film"
16113,1376925093,"Advertising,Cloud Services,Small Businesses",NULL
16114,1376927740,"Family,Int'l Development (Outside US/Canada)",NULL
16115,1376928015,"Cloud Services,Data & Analytics,Events,Financial Services,Green,Healthcare,Productivity Tools",NULL
16116,1376929261,"Local,Mobile,Productivity Tools,Social Impact",NULL
16117,1376930980,"Advertising,Commerce,Data & Analytics,Enterprise Software,Healthcare,Local,Media,Productivity Tools,Video,Wearable Tech","Quantified-self,Content,Movies/Film,TV"
16118,1376931726,"Commerce,Healthcare",NULL
16119,1376933410,"Commerce,Media","Content"
16120,1376933473,"Advertising,Cloud Services,Data & Analytics,Local,Mobile,Payments,Productivity Tools,Travel,Wearable Tech",""
16121,1376933578,"Cloud Services,Enterprise Software,Games,Mobile",NULL
16122,1376933797,"Commerce,Dating,Fashion,Games,Hardware,Healthcare,Mobile,Music,Photos,Travel","Fitness,Nutrition"
16123,1376935219,"Commerce,Data & Analytics,Dating,Events,Fashion,Media,Music,Small Businesses","Movies/Film,TV"
16124,1376935639,"Commerce,Data & Analytics,Enterprise Software,Financial Services,Mobile,Small Businesses",NULL
16125,1376935804,"Advertising,Commerce,Events,Fashion,Financial Services,Games,Mobile,Music,Photos,Small Businesses,Social Impact",NULL
16126,1376936331,"Commerce,Green",NULL
16127,1376939237,"Education,Int'l Development (Outside US/Canada)","Lifelong Learning (outside of school)"
16128,1376939845,"Education,Family","In-classroom learning (K-12),Lifelong Learning (outside of school),Teacher training"
16129,1376940131,"Cloud Services,Data & Analytics,Education,Enterprise Software,Events,Financial Services,Sports","Lifelong Learning (outside of school)"
16130,1376940250,"Commerce,Games,Healthcare,Sports,Travel","Nutrition"
16132,1376941051,"Cloud Services,Commerce,Data & Analytics,Education,Enterprise Software,Events,Financial Services,Healthcare,Productivity Tools,Sports,Travel","Edutainment,In-classroom learning (K-12),Lifelong Learning (outside of school),Teacher training,Youth Leadership,Higher Education,Fitness,Nutrition,Quantified-self,Records,Wellness"
16133,1376941713,"Data & Analytics,Dating,Financial Services,Hardware,Healthcare,Small Businesses","Fitness,Nutrition,Quantified-self,Records"
16300,1377120486,"Cloud Services,Commerce,Consumer Electronics,Mobile,Payments,Productivity Tools,Small Businesses,Smart Home",NULL
16134,1376942858,"Advertising,Local,Mobile,Payments,Small Businesses,Social Impact",NULL
16135,1376944005,"Advertising,Mobile,Recruiting,Travel",NULL
16136,1376944091,"Education,Games","Edutainment"
16137,1376945044,"Cloud Services,Hardware",NULL
16138,1376945558,"Data & Analytics,Fashion,Mobile,Social Impact",NULL
16139,1376949262,"Commerce,Fashion,Green,Healthcare,Local,Mobile,Music,Payments,Productivity Tools,Small Businesses,Social Impact,Travel","Fitness,Nutrition,Wellness"
16140,1376950163,"Advertising,Data & Analytics,Fashion,Green,Mobile,Productivity Tools,Small Businesses,Social Impact,Travel",NULL
16141,1376950470,"Data & Analytics,Education,Social Impact","Edutainment,In-classroom learning (K-12),Lifelong Learning (outside of school)"
16142,1376951001,"Advertising,Commerce,Education,Events,Green,Healthcare,Local,Mobile,Productivity Tools,Recruiting,Travel","Edutainment,Higher Education,Fitness,Nutrition,Quantified-self,Records,Wellness"
16143,1376952587,"Cloud Services,Education,Financial Services,Mobile,Photos,Productivity Tools,Social Impact","Edutainment,In-classroom learning (K-12),Lifelong Learning (outside of school),Teacher training"
16145,1376955074,"Cloud Services,Data & Analytics,Mobile,Social Impact",NULL
16146,1376955235,"Commerce,Fashion,Local,Mobile,Payments,Photos,Small Businesses",""
16147,1376955523,"Advertising,Media,Recruiting,Social Impact",NULL
16148,1376957343,"Cloud Services,Data & Analytics,Enterprise Software",NULL
16149,1376957605,"Games,Hardware,Video",NULL
16150,1376957933,"Advertising,Small Businesses,Social Impact",NULL
16151,1376958941,"Commerce,Data & Analytics,Mobile,Music,Payments",""
16152,1376960155,"Healthcare,Social Impact,Video","Wellness"
16153,1376962645,"Advertising,Cloud Services,Data & Analytics,Education,Enterprise Software,Green,Healthcare,Mobile,Productivity Tools,Small Businesses,Smart Home,Sports",""
16154,1376962788,"Cloud Services,Data & Analytics,Education,Enterprise Software,Events,Mobile,Music,Productivity Tools,Small Businesses,Social Impact","Youth Leadership"
16155,1376963130,"Advertising,Cloud Services,Mobile,Video",NULL
16156,1376967443,"Advertising,Data & Analytics",NULL
16157,1376968310,"Games,Media,Music,Payments,Travel",NULL
17621,1379595173,"Advertising,Education,Enterprise Software,Mobile,Recruiting,Small Businesses",NULL
20686,1386749107,"Advertising,Cloud Services,Data & Analytics,Dating,Education,Enterprise Software,Local,Media,Mobile,Photos,Productivity Tools,Recruiting,Small Businesses,Social Impact,Wearable Tech","Lifelong Learning (outside of school),Higher Education,News"
18216,1380836501,"Advertising,Consumer Electronics,Enterprise Software,Events,Fashion,Hardware,Local,Media,Music,Photos,Small Businesses,Smart Home,Social Impact,Travel,Video","Content,Movies/Film,News,TV"
19272,1383465569,"3D Printing,Cloud Services,Consumer Electronics,Education,Enterprise Software,Games,Hardware,Music,Productivity Tools,Robotics,Smart Home,Wearable Tech","Edutainment"
20691,1386771218,"Commerce,Data & Analytics",NULL
17317,1379021412,"3D Printing,Cloud Services,Consumer Electronics,Data & Analytics,Green,Media,Mobile,Recruiting,Small Businesses,Sports,Transportation,Wearable Tech",""
16284,1377115259,"Cloud Services,Commerce,Dating,Education,Fashion,Games,Hardware,Local,Media,Mobile,Music,Photos,Productivity Tools,Robotics,Smart Home,Sports,Travel,Video","Edutainment,Content,TV"
16310,1377132023,"3D Printing,Consumer Electronics,Data & Analytics,Green,Hardware,Healthcare,Mobile,Productivity Tools,Robotics,Small Businesses,Smart Home,Sports,Transportation,Wearable Tech","Fitness,Nutrition,Quantified-self,Records,Wellness,Medical Devices"
20701,1386803641,"Education","Youth Leadership"
19408,1383768371,"Cloud Services,Data & Analytics,Wearable Tech",NULL
16160,1376975988,"Media,Sports","Content,Movies/Film,TV"
16161,1376976859,"3D Printing,Cloud Services,Consumer Electronics,Data & Analytics,Enterprise Software,Green,Hardware,Mobile,Robotics,Transportation,Wearable Tech",NULL
16162,1376982377,"Green,Social Impact",NULL
16163,1376982969,"Commerce,Data & Analytics,Education,Local,Mobile",NULL
16164,1376983058,"Commerce,Consumer Electronics,Fashion,Smart Home",NULL
16165,1376984738,"Cloud Services,Commerce,Data & Analytics,Dating,Education,Fashion,Productivity Tools,Recruiting,Small Businesses,Video","In-classroom learning (K-12),Lifelong Learning (outside of school),Teacher training,Higher Education"
16166,1376986285,"Advertising,Data & Analytics,Games,Mobile,Video",""
16167,1376989054,"Commerce,Education,Enterprise Software,Green,Hardware,Mobile,Productivity Tools,Small Businesses,Smart Home,Social Impact","Edutainment"
16168,1376990075,"Recruiting",NULL
16169,1376991018,"Productivity Tools,Recruiting,Small Businesses",NULL
16170,1376995937,"Enterprise Software,Fashion,Media,Social Impact",NULL
16171,1377000434,"Advertising,Commerce,Dating,Mobile,Music,Sports",NULL
16173,1377004369,"Fashion,Healthcare,Music,Productivity Tools","Fitness,Nutrition,Quantified-self,Records,Wellness"
16174,1377004739,"3D Printing,Green,Hardware,Healthcare,Payments,Robotics,Small Businesses,Smart Home,Social Impact,Wearable Tech","Fitness,Wellness"
16175,1377010014,"3D Printing,Commerce,Data & Analytics,Green,Healthcare,Mobile,Payments,Robotics,Sports,Wearable Tech","Fitness,Nutrition,Quantified-self,Wellness,Medical Devices"
16176,1377010025,"Cloud Services,Enterprise Software,Healthcare",NULL
16177,1377010690,"Healthcare",NULL
16178,1377010724,"3D Printing,Advertising,Consumer Electronics,Data & Analytics,Green,Local,Robotics,Small Businesses,Smart Home,Sports,Wearable Tech",NULL
16179,1377011288,"Enterprise Software,Healthcare",""
16180,1377011720,"Small Businesses",NULL
16181,1377012125,"Advertising,Cloud Services,Commerce,Consumer Electronics,Data & Analytics,Enterprise Software,Events,Financial Services,Games,Green,Healthcare,Local,Mobile,Payments,Productivity Tools,Recruiting,Small Businesses,Social Impact,Transportation,Travel,Wearable Tech","Fitness,Wellness,Medical Devices"
17880,1380126896,"Advertising,Cloud Services,Commerce,Consumer Electronics,Data & Analytics,Dating,Enterprise Software,Events,Fashion,Financial Services,Hardware,Mobile,Music,Payments,Recruiting,Social Impact,Video,Wearable Tech",NULL
16182,1377013213,"Advertising,Commerce,Data & Analytics,Mobile",NULL
16183,1377013821,"Cloud Services,Data & Analytics,Productivity Tools",NULL
16184,1377014836,"Commerce,Education,Enterprise Software,Small Businesses,Smart Home","Edutainment,In-classroom learning (K-12)"
16185,1377016037,"Green,Hardware,Small Businesses,Travel",NULL
16186,1377019434,"Advertising,Cloud Services,Data & Analytics",NULL
16187,1377021623,"3D Printing,Data & Analytics,Education,Events,Family,Games,Green,Local,Media,Mobile,Photos,Robotics,Small Businesses,Wearable Tech,Youth Leadership","Lifelong Learning (outside of school),Teacher training,Youth Leadership,Content,News,TV"
16188,1377022426,"Cloud Services,Data & Analytics,Enterprise Software,Small Businesses",NULL
16189,1377022970,"3D Printing,Cloud Services,Commerce,Consumer Electronics,Data & Analytics,Hardware,Mobile,Wearable Tech",NULL
16190,1377024102,"Commerce,Data & Analytics,Education,Enterprise Software,Local,Mobile,Payments,Photos,Travel,Video,Wearable Tech",""
16191,1377024527,"Advertising,Cloud Services,Enterprise Software,Small Businesses,Social Impact",NULL
16192,1377026002,"Cloud Services,Data & Analytics,Social Impact",NULL
16193,1377026254,"Green,Media,Mobile,Social Impact,Sports,Video","Content,Movies/Film,TV"
16194,1377026565,"Cloud Services,Data & Analytics,Enterprise Software,Mobile,Small Businesses",""
16195,1377027893,"Cloud Services,Data & Analytics,Mobile",NULL
16200,1377036361,"3D Printing,Enterprise Software,Productivity Tools,Travel",NULL
16201,1377037580,"Cloud Services,Commerce,Data & Analytics,Enterprise Software,Financial Services,Hardware,Healthcare,Music,Payments,Sports,Travel",""
16202,1377038559,"Media,Music,Photos,Robotics,Small Businesses,Video","Content,Movies/Film"
16203,1377039364,"Cloud Services,Small Businesses",NULL
16204,1377039725,"Cloud Services,Data & Analytics,Enterprise Software,Financial Services,Healthcare,Local,Music,Payments,Productivity Tools,Smart Home,Social Impact,Transportation",NULL
16205,1377040480,"Commerce,Consumer Electronics,Education,Financial Services,Green,Hardware,Mobile,Productivity Tools,Robotics,Small Businesses,Social Impact,Wearable Tech","In-classroom learning (K-12),Lifelong Learning (outside of school)"
16206,1377041759,"3D Printing,Enterprise Software,Healthcare,Mobile,Social Impact,Video",NULL
16208,1377044100,"Data & Analytics,Media",""
16209,1377045033,"Advertising,Cloud Services,Commerce,Data & Analytics,Enterprise Software,Hardware,Healthcare,Media,Mobile,Robotics,Small Businesses,Smart Home,Video","Records,Content,Movies/Film,TV"
16210,1377045882,"Enterprise Software,Financial Services,Payments",NULL
16211,1377046398,"3D Printing,Fashion,Green,Social Impact",NULL
16537,1377553882,"Advertising,Education,Media,Mobile,Music,Video",NULL
16212,1377047992,"3D Printing",""
16213,1377053657,"3D Printing,Consumer Electronics,Dating,Education,Events,Games,Green,Local,Mobile,Music,Payments,Recruiting,Small Businesses,Smart Home,Travel,Video","Edutainment,Lifelong Learning (outside of school),Teacher training"
16215,1377056207,"Cloud Services,Data & Analytics,Local,Payments,Photos,Productivity Tools,Social Impact,Transportation",NULL
16216,1377057382,"Data & Analytics,Green",NULL
16217,1377059545,"Education,Video","In-classroom learning (K-12),Teacher training"
16218,1377060762,"Commerce,Data & Analytics,Mobile",""
16219,1377061281,"K-12",NULL
16220,1377061423,"Cloud Services,Commerce,Data & Analytics,Enterprise Software,Events,Mobile,Productivity Tools,Small Businesses",""
16234,1377070305,"Advertising,Data & Analytics,Enterprise Software,Green,Healthcare,Media,Mobile,Payments,Productivity Tools,Small Businesses,Social Impact,Transportation",NULL
16235,1377070952,"Commerce,Green",NULL
16233,1377068905,"Cloud Services,Data & Analytics,Enterprise Software,Financial Services,Games,Mobile,Payments,Productivity Tools,Smart Home",NULL
16229,1377066037,"Data & Analytics,Education,Recruiting","Higher Education"
16237,1377072266,"Data & Analytics,Social Impact",NULL
16236,1377071377,"3D Printing,Mobile,Payments",NULL
16238,1377073316,"Cloud Services,Data & Analytics,Education,Enterprise Software,Events,Green,Mobile,Productivity Tools,Small Businesses,Social Impact","Youth Leadership"
16239,1377074865,"Mobile,Small Businesses",""
16240,1377078279,"Advertising,Data & Analytics,Mobile,Payments,Social Impact,Travel",NULL
16241,1377079619,"Mobile",NULL
16242,1377080016,"Cloud Services,Events,Mobile,Photos,Video",NULL
16243,1377080689,"Commerce,Games,Mobile,Photos",NULL
16244,1377083514,"Commerce,Enterprise Software,Events,Green,Sports,Transportation,Travel",NULL
16245,1377083908,"Youth Leadership",NULL
16246,1377085997,"3D Printing,Events,Small Businesses,Social Impact",NULL
16247,1377088937,"3D Printing,Cloud Services,Commerce,Consumer Electronics,Education,Enterprise Software,Local,Mobile,Robotics,Small Businesses,Smart Home,Sports,Transportation,Video,Wearable Tech","Edutainment,In-classroom learning (K-12)"
16248,1377090625,"Family,Int'l Development (Outside US/Canada)",NULL
16249,1377091519,"Data & Analytics,Education,Enterprise Software,Productivity Tools,Recruiting,Small Businesses,Social Impact",NULL
16250,1377092478,"Consumer Electronics,Data & Analytics,Green,Hardware,Robotics,Sports,Wearable Tech",NULL
16251,1377093165,"Cloud Services,Education,Enterprise Software,Small Businesses","Higher Education"
16252,1377093287,"Advertising,Data & Analytics,Mobile,Transportation",NULL
16253,1377094293,"Cloud Services,Commerce,Consumer Electronics,Data & Analytics,Enterprise Software,Financial Services,Games,Green,Healthcare,Mobile,Payments,Wearable Tech","Records,Medical Devices"
16254,1377094300,"Fashion,Games,Local,Media,Music,Photos,Social Impact,Wearable Tech",NULL
16255,1377095494,"Cloud Services,Enterprise Software,Productivity Tools,Small Businesses,Transportation",NULL
16256,1377096103,"Advertising,Cloud Services,Commerce,Data & Analytics,Dating,Enterprise Software,Mobile,Payments,Social Impact,Sports",""
16257,1377096367,"Consumer Electronics,Green,Hardware,Healthcare,Local,Mobile,Music,Robotics,Small Businesses,Smart Home,Social Impact,Sports,Transportation,Travel,Video,Wearable Tech","Nutrition,Wellness"
16258,1377096766,"Consumer Electronics,Productivity Tools,Transportation",NULL
16259,1377098566,"Financial Services,Wearable Tech",NULL
16260,1377098589,"Green,Small Businesses,Smart Home",NULL
16261,1377099278,"Data & Analytics,Enterprise Software,Hardware,Mobile",NULL
16263,1377100518,"Advertising,Events,Local,Media,Mobile,Music","TV"
16264,1377101498,"Mobile",NULL
16265,1377102433,"Media,Mobile,Video","TV"
16266,1377103530,"Financial Services",NULL
16267,1377104031,"Small Businesses",NULL
16268,1377104250,"Data & Analytics,Enterprise Software,Media,Mobile,Productivity Tools,Recruiting,Small Businesses,Social Impact,Sports","Content,News"
16269,1377104416,"Advertising,Cloud Services,Commerce,Data & Analytics",NULL
16270,1377104805,"Commerce,Data & Analytics,Enterprise Software,Fashion,Games,Green,Hardware,Media,Mobile,Music,Photos,Robotics,Small Businesses,Smart Home,Social Impact,Travel,Video,Wearable Tech","Movies/Film"
16271,1377105435,"Commerce,Events,Local,Mobile,Travel",""
16272,1377106220,"Data & Analytics,Enterprise Software,Games,Payments",NULL
16273,1377106610,"Media,Music,Social Impact","Movies/Film"
16274,1377109301,"Media","Content,Movies/Film,TV"
16275,1377109501,"Cloud Services,Consumer Electronics,Mobile,Productivity Tools,Smart Home,Sports",NULL
16281,1377112668,"Advertising,Commerce,Data & Analytics,Fashion,Local,Mobile,Payments,Photos,Small Businesses",""
28263,1405974776,NULL,NULL
16277,1377111296,"Cloud Services,Data & Analytics,Dating,Green,Hardware,Mobile,Photos,Small Businesses,Social Impact",NULL
16278,1377111774,"Cloud Services,Data & Analytics,Enterprise Software",NULL
16279,1377111827,"3D Printing,Consumer Electronics,Hardware,Healthcare,Media,Mobile,Music,Smart Home,Travel,Wearable Tech","Records,Medical Devices,Content,Movies/Film,News,TV"
16280,1377111880,"Consumer Electronics,Hardware,Robotics",""
16282,1377114150,"Advertising,Commerce,Data & Analytics,Recruiting",NULL
16283,1377114417,"3D Printing,Advertising,Cloud Services,Commerce,Consumer Electronics,Data & Analytics,Dating,Education,Enterprise Software,Events,Financial Services,Games,Green,Hardware,Healthcare,Local,Media,Mobile,Music,Payments,Productivity Tools,Recruiting,Robotics,Smart Home,Social Impact,Sports,Transportation,Travel,Video,Wearable Tech",NULL
16285,1377115935,"Education,Financial Services,Small Businesses,Social Impact,Sports","Edutainment,In-classroom learning (K-12),Lifelong Learning (outside of school),Teacher training,Youth Leadership,Higher Education"
16289,1377117036,"Commerce,Data & Analytics,Financial Services,Small Businesses",NULL
16286,1377116325,"Consumer Electronics,Education,Games,Media,Music,Payments,Photos,Sports,Video,Wearable Tech","Content,Movies/Film,TV"
16287,1377116387,"3D Printing,Consumer Electronics,Data & Analytics,Education,Enterprise Software,Financial Services,Green,Hardware,Healthcare,Payments,Productivity Tools,Robotics,Small Businesses,Smart Home,Transportation,Wearable Tech","In-classroom learning (K-12),Lifelong Learning (outside of school),Quantified-self,Medical Devices"
16288,1377116573,"Healthcare,Photos,Travel",NULL
16290,1377117055,"Cloud Services,Commerce,Data & Analytics,Enterprise Software,Green,Hardware,Small Businesses",NULL
16291,1377117057,"Consumer Electronics,Hardware,Mobile,Sports,Wearable Tech",""
16292,1377117209,"3D Printing,Consumer Electronics,Hardware,Productivity Tools,Wearable Tech",NULL
16293,1377117304,"3D Printing,Consumer Electronics,Hardware,Robotics,Wearable Tech",""
16294,1377117619,"3D Printing,Data & Analytics,Enterprise Software,Green,Healthcare,Mobile,Payments,Wearable Tech",NULL
16295,1377118261,"Commerce,Data & Analytics,Education,Financial Services,Mobile,Recruiting,Travel","Edutainment"
16296,1377118263,"3D Printing,Consumer Electronics,Fashion,Hardware,Healthcare,Mobile,Smart Home,Travel,Wearable Tech","Wellness"
16297,1377118725,"Cloud Services,Commerce,Consumer Electronics,Data & Analytics,Enterprise Software,Events,Fashion,Healthcare,Mobile,Payments,Recruiting,Small Businesses,Sports,Travel","Fitness,Nutrition,Records,Wellness"
16298,1377118954,"Cloud Services,Data & Analytics,Enterprise Software,Healthcare",NULL
16299,1377120272,"Dating",""
16301,1377121665,"Consumer Electronics,Green,Mobile,Social Impact",NULL
16302,1377121890,"Cloud Services,Data & Analytics,Dating,Games,Mobile,Productivity Tools,Recruiting,Wearable Tech",NULL
16303,1377122721,"Hardware,Mobile,Robotics",NULL
16304,1377123025,"Commerce,Data & Analytics,Financial Services,Mobile,Social Impact",NULL
16305,1377123970,"Advertising,Data & Analytics,Mobile",NULL
16306,1377123992,"Events,Local,Mobile,Productivity Tools,Recruiting,Small Businesses,Sports,Transportation,Travel",NULL
16307,1377124985,"Cloud Services,Enterprise Software,Small Businesses,Smart Home,Sports,Transportation",NULL
16308,1377129961,"Data & Analytics,Events,Games,Hardware,Payments,Small Businesses,Social Impact",NULL
16309,1377131052,"Advertising,Commerce,Enterprise Software,Media,Small Businesses,Social Impact",NULL
16311,1377132983,"Cloud Services,Commerce,Consumer Electronics,Data & Analytics,Enterprise Software,Financial Services,Hardware,Mobile,Payments,Productivity Tools,Small Businesses,Wearable Tech",NULL
16312,1377133474,"3D Printing",NULL
16313,1377134445,"Financial Services",NULL
16314,1377134977,"Dating,Events,Fashion,Local,Media,Mobile,Music,Photos,Productivity Tools,Social Impact,Sports",""
16315,1377135184,"Advertising,Data & Analytics,Media,Mobile,Photos,Small Businesses","Content,News,TV"
16316,1377135629,"Healthcare","Fitness,Nutrition,Quantified-self,Wellness"
16317,1377136236,"Cloud Services,Commerce,Data & Analytics,Enterprise Software,Fashion,Financial Services,Local,Media,Mobile,Payments,Productivity Tools,Small Businesses,Sports,Transportation,Travel,Video,Wearable Tech","Content,Movies/Film,News,TV"
16318,1377138045,"Advertising,Cloud Services,Commerce,Data & Analytics,Enterprise Software,Events,Green,Hardware,Local,Media,Mobile,Productivity Tools,Small Businesses,Social Impact","Content,News"
16319,1377140429,"Productivity Tools",NULL
16320,1377140670,"Mobile,Productivity Tools",""
16321,1377142715,"Cloud Services,Commerce,Consumer Electronics,Financial Services,Mobile,Payments,Small Businesses,Smart Home,Wearable Tech",""
16322,1377143510,"Fashion",NULL
16323,1377148647,"Data & Analytics,Education,Enterprise Software,Games,Mobile,Payments,Productivity Tools,Small Businesses","Edutainment,Lifelong Learning (outside of school),Higher Education"
16324,1377150416,"Data & Analytics,Dating,Events,Fashion,Games,Green,Healthcare,Media,Mobile,Photos,Small Businesses,Smart Home,Social Impact,Wearable Tech","Fitness,Records,Wellness,TV"
16325,1377155626,"Advertising,Cloud Services,Commerce,Data & Analytics,Dating,Education,Enterprise Software,Events,Financial Services,Healthcare,Mobile,Recruiting,Small Businesses,Social Impact,Sports,Travel","Lifelong Learning (outside of school)"
16326,1377157789,"Commerce,Enterprise Software,Games,Green,Local,Mobile,Payments,Smart Home,Transportation,Travel",NULL
16327,1377158621,"Advertising,Commerce,Fashion",NULL
16328,1377158992,"Advertising,Commerce,Data & Analytics,Fashion,Mobile",""
16329,1377161839,"Cloud Services,Data & Analytics,Enterprise Software,Productivity Tools,Recruiting",NULL
16330,1377162066,"Advertising,Cloud Services,Commerce,Data & Analytics,Education,Enterprise Software,Events,Financial Services,Games,Media,Mobile,Payments,Photos,Productivity Tools,Small Businesses,Social Impact","Edutainment,Content,Movies/Film,News,TV"
16331,1377163186,"3D Printing,Education,Hardware,Productivity Tools,Small Businesses,Smart Home,Social Impact",""
16332,1377167145,"3D Printing,Advertising,Cloud Services,Commerce,Consumer Electronics,Fashion,Games,Green,Hardware,Healthcare,Mobile,Music,Payments,Productivity Tools,Small Businesses,Smart Home,Social Impact,Sports,Travel,Wearable Tech","Fitness,Wellness,Medical Devices"
16333,1377167938,"3D Printing,Consumer Electronics,Games,Green,Hardware,Local,Productivity Tools,Smart Home,Social Impact,Sports,Wearable Tech",""
16334,1377170753,"3D Printing,Cloud Services,Data & Analytics,Education,Events,Financial Services,Hardware,Mobile,Recruiting,Social Impact,Transportation,Travel","Edutainment,Youth Leadership,Higher Education"
16335,1377174368,"Cloud Services,Commerce,Data & Analytics,Enterprise Software,Events,Green,Local,Productivity Tools,Small Businesses,Social Impact",""
16336,1377175036,"Advertising,Cloud Services,Consumer Electronics,Data & Analytics,Green,Local,Mobile,Small Businesses,Travel,Wearable Tech",NULL
16337,1377177628,"3D Printing,Cloud Services,Commerce,Data & Analytics,Enterprise Software,Financial Services,Hardware,Healthcare,Robotics,Wearable Tech","Records,Medical Devices"
16338,1377178663,"Consumer Electronics,Events,Financial Services,Games,Mobile,Payments,Small Businesses,Smart Home,Sports,Transportation,Travel",NULL
16339,1377178908,"Cloud Services,Media,Mobile,Photos,Video",""
16340,1377180298,"3D Printing,Cloud Services,Data & Analytics,Enterprise Software,Fashion,Robotics,Wearable Tech",NULL
16343,1377182321,"Events,Fashion,Green,Media,Small Businesses","Content"
16341,1377180648,"Consumer Electronics,Hardware,Mobile,Wearable Tech",NULL
16342,1377181365,"Data & Analytics,Local,Mobile,Payments",""
16344,1377182506,"Cloud Services,Education,Enterprise Software,Healthcare,Payments,Productivity Tools,Transportation,Travel","Lifelong Learning (outside of school),Records"
16345,1377182701,"Cloud Services,Consumer Electronics,Data & Analytics,Green,Hardware,Healthcare,Payments,Robotics,Smart Home,Social Impact,Wearable Tech","Fitness,Quantified-self,Wellness"
16346,1377183830,"Data & Analytics,Financial Services,Green,Healthcare,Sports",""
16347,1377184228,"Cloud Services,Data & Analytics,Mobile,Small Businesses,Social Impact",NULL
16348,1377184735,"Consumer Electronics,Hardware,Smart Home,Sports,Wearable Tech",""
16349,1377186384,"Cloud Services,Education,Sports","Lifelong Learning (outside of school),Content"
